#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330640E-12
#47368_015_2-S_MAIN0_Interstrip_091923
#Date/Time: 9/19/2023 3:30:39 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
690	3777997839.555421	1.949155	23.500000	26.100610	-1.847600E-7	6.001647E-12	-8.273622E-11	-1.037319E-10	-1.217468E-10
705	3777997864.336326	1.904262	23.500000	26.112678	-1.845200E-7	5.999518E-12	-7.931219E-11	-9.823831E-11	-1.183267E-10
720	3777997889.154959	1.892518	23.500000	26.120070	-1.846400E-7	6.000512E-12	-8.039720E-11	-1.009532E-10	-1.192777E-10
735	3777997914.102918	1.901698	23.500000	26.125678	-1.846600E-7	6.001893E-12	-8.334262E-11	-1.018073E-10	-1.223442E-10
750	3777997938.892825	1.877971	23.500000	26.119792	-1.846200E-7	5.999428E-12	-8.110927E-11	-9.888602E-11	-1.198149E-10
765	3777997963.705670	1.929862	23.500000	26.098727	-1.846900E-7	6.000685E-12	-7.710384E-11	-9.826759E-11	-1.194125E-10
780	3777997988.574545	1.879360	23.500000	26.097104	-1.845500E-7	5.999648E-12	-7.650155E-11	-9.878094E-11	-1.177553E-10
795	3777998013.359560	1.900456	23.500000	26.137270	-1.847100E-7	6.000255E-12	-7.629814E-11	-9.547544E-11	-1.164618E-10
810	3777998038.311861	1.858104	23.500000	26.153361	-1.846400E-7	5.999838E-12	-8.219260E-11	-9.807724E-11	-1.178148E-10
825	3777998063.235046	1.899640	23.500000	26.163587	-1.846300E-7	6.001247E-12	-7.672091E-11	-9.838633E-11	-1.202301E-10
840	3777998088.294959	1.888135	23.500000	26.179738	-1.846000E-7	6.001135E-12	-7.952690E-11	-9.868545E-11	-1.174302E-10
855	3777998113.107981	1.924590	23.500000	26.181205	-1.848600E-7	6.002910E-12	-7.655715E-11	-9.784008E-11	-1.156775E-10
870	3777998137.868145	1.897009	23.500000	26.175616	-1.845400E-7	6.002997E-12	-8.395799E-11	-1.054867E-10	-1.261882E-10
885	3777998162.826017	1.890199	23.500000	26.182512	-1.845700E-7	6.004005E-12	-8.131374E-11	-9.897621E-11	-1.194810E-10
900	3777998187.646342	1.899665	23.500000	26.205758	-1.846300E-7	6.003693E-12	-7.695113E-11	-9.786339E-11	-1.170373E-10
915	3777998212.438389	1.841773	23.500000	26.215922	-1.844800E-7	6.004330E-12	-7.736674E-11	-9.949115E-11	-1.180829E-10
930	3777998237.241104	1.815818	23.500000	26.207997	-1.847000E-7	6.005452E-12	-8.218954E-11	-1.011494E-10	-1.206660E-10
945	3777998262.153670	1.829848	23.500000	26.214535	-1.846400E-7	6.004920E-12	-7.848137E-11	-9.973775E-11	-1.179910E-10
960	3777998287.248725	1.869742	23.500000	26.218242	-1.846400E-7	6.005092E-12	-8.092078E-11	-1.021160E-10	-1.215061E-10
975	3777998312.215775	1.839024	23.500000	26.216657	-1.844500E-7	6.005370E-12	-8.042053E-11	-1.021923E-10	-1.201588E-10
990	3777998337.028065	1.819971	23.500000	26.248304	-1.845000E-7	6.004320E-12	-8.220186E-11	-1.006005E-10	-1.193741E-10
1005	3777998361.986530	1.841273	23.500000	26.245984	-1.845500E-7	6.003837E-12	-8.340235E-11	-1.049269E-10	-1.217593E-10
1020	3777998388.227654	1.816670	23.500000	26.238732	-1.845100E-7	5.982900E-12	-7.847704E-11	-9.529393E-11	-1.077542E-10
1035	3777998413.181083	1.758496	23.500000	26.319545	-1.844400E-7	5.995112E-12	-7.706417E-11	-9.247122E-11	-1.052618E-10
1050	3777998438.115350	1.740414	23.500000	26.367836	-1.847600E-7	5.995780E-12	-7.707276E-11	-9.313726E-11	-1.077458E-10
1065	3777998462.907094	1.773861	23.500000	26.331652	-1.846100E-7	5.998818E-12	-7.409770E-11	-8.820488E-11	-1.046801E-10
1080	3777998487.851246	1.769096	23.500000	26.325826	-1.846000E-7	5.995967E-12	-7.012352E-11	-8.810588E-11	-1.013828E-10
1095	3777998512.662518	1.732167	23.500000	26.399543	-1.847500E-7	5.996563E-12	-7.546640E-11	-9.100615E-11	-1.058100E-10
1110	3777998537.499307	1.819778	23.500000	26.340966	-1.845700E-7	5.995887E-12	-7.919116E-11	-9.458326E-11	-1.075077E-10
