#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.331093E-12
#47368_021_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 10:22:48 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1155	3778066539.369384	1.630491	23.500000	26.562517	-1.957400E-7	5.996935E-12	-8.264489E-11	-9.511165E-11	-1.103578E-10
1170	3778066564.277401	1.638863	23.500000	26.548288	-1.958900E-7	5.996082E-12	-8.089484E-11	-9.345568E-11	-1.089278E-10
1185	3778066589.109714	1.634369	23.500000	26.611068	-1.960600E-7	5.994795E-12	-8.413631E-11	-9.727346E-11	-1.121696E-10
1200	3778066613.948411	1.616176	23.500000	26.559525	-1.957700E-7	5.994920E-12	-8.378791E-11	-9.719289E-11	-1.117984E-10
1215	3778066638.764490	1.646936	23.500000	26.568460	-1.960200E-7	5.995287E-12	-8.479831E-11	-9.991016E-11	-1.134339E-10
1230	3778066663.578961	1.617750	23.500000	26.526470	-1.958500E-7	5.991923E-12	-8.278473E-11	-9.495263E-11	-1.109687E-10
1245	3778066688.384434	1.627239	23.500000	26.549894	-1.958000E-7	5.991645E-12	-8.154070E-11	-9.485469E-11	-1.095423E-10
1260	3778066713.176339	1.626556	23.500000	26.536436	-1.956400E-7	5.989910E-12	-8.149675E-11	-9.901410E-11	-1.089576E-10
1275	3778066738.020672	1.630294	23.500000	26.545990	-1.958200E-7	5.988370E-12	-8.187596E-11	-9.497327E-11	-1.068336E-10
1290	3778066762.982606	1.669651	23.500000	26.528192	-1.957600E-7	5.986720E-12	-8.293112E-11	-9.692631E-11	-1.092553E-10
1305	3778066787.953778	1.670750	23.500000	26.538418	-1.958300E-7	5.987015E-12	-8.517367E-11	-9.848747E-11	-1.111683E-10
1320	3778066812.784650	1.687350	23.500000	26.540361	-1.959200E-7	5.986377E-12	-8.952483E-11	-1.036133E-10	-1.168570E-10
1335	3778066837.599574	1.654581	23.500000	26.535644	-1.958200E-7	5.984493E-12	-8.722612E-11	-9.950785E-11	-1.124587E-10
1350	3778066862.430804	1.685625	23.500000	26.549496	-1.956400E-7	5.982567E-12	-8.437268E-11	-9.831307E-11	-1.086191E-10
1365	3778066887.239365	1.680407	23.500000	26.566717	-1.957000E-7	5.981285E-12	-8.965917E-11	-1.024510E-10	-1.127157E-10
1380	3778066912.068079	1.707170	23.500000	26.582234	-1.959100E-7	5.981720E-12	-8.688751E-11	-9.876794E-11	-1.097353E-10
1395	3778066936.918256	1.733172	23.500000	26.622719	-1.957000E-7	5.981803E-12	-8.690407E-11	-9.902700E-11	-1.091567E-10
