#Open Capacitance 1000Hz:4.560857E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_021_2-S_MAIN0_Single_092023
#Date/Time: 9/20/2023 11:26:59 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
148	3778069121.827518	2.389504	23.500000	26.889945	-1.958000E-7	-1.043500E-10	1.487733E-10	-8.510477E-11	-8.589884E-11	-8.602846E-11	-8.439295E-11	-8.535626E-11	-8.550180E-11	-6.664848E-7	-3.331211E-6
152	3778069138.967098	2.345971	23.500000	26.884577	-1.959700E-7	-1.023476E-10	1.487335E-10	-9.653175E-11	-9.439372E-11	-9.551877E-11	-9.418438E-11	-9.515716E-11	-9.495624E-11	-6.666842E-7	-3.332053E-6
156	3778069156.374875	2.328782	23.500000	26.874727	-1.957900E-7	-1.055517E-10	1.487768E-10	-8.379598E-11	-8.127496E-11	-7.971487E-11	-8.058782E-11	-8.134341E-11	-8.093139E-11	-6.628589E-7	-3.313452E-6
160	3778069173.534999	2.242365	23.500000	26.835390	-1.957100E-7	-1.067531E-10	1.488097E-10	-7.753996E-11	-7.719346E-11	-7.728360E-11	-7.820727E-11	-7.755607E-11	-7.741178E-11	-6.601709E-7	-3.299059E-6
164	3778069190.745740	2.193124	23.500000	26.831249	-1.957300E-7	-9.503789E-11	1.487868E-10	-8.335885E-11	-8.118067E-11	-8.013337E-11	-8.020612E-11	-8.121975E-11	-8.069339E-11	-6.604777E-7	-3.300951E-6
168	3778069208.055550	2.220914	23.500000	26.809727	-1.956700E-7	-6.244550E-11	1.487985E-10	-7.981583E-11	-8.152210E-11	-8.217305E-11	-8.148613E-11	-8.124928E-11	-8.150412E-11	-6.616722E-7	-3.307466E-6
172	3778069225.387524	2.149836	23.500000	26.811748	-1.957600E-7	-1.097895E-11	1.487545E-10	-8.253003E-11	-8.041958E-11	-8.024783E-11	-7.818685E-11	-8.034607E-11	-8.033370E-11	-6.636281E-7	-3.317224E-6
176	3778069242.696002	2.171461	23.500000	26.844665	-1.957500E-7	-1.056017E-10	1.488140E-10	-7.989127E-11	-8.019917E-11	-8.156589E-11	-8.166401E-11	-8.083008E-11	-8.088253E-11	-6.636727E-7	-3.317247E-6
180	3778069260.262361	2.135695	23.500000	26.817894	-1.958600E-7	-8.622639E-11	1.488482E-10	-8.580460E-11	-8.802833E-11	-8.739415E-11	-8.684461E-11	-8.701792E-11	-8.711938E-11	-6.647552E-7	-3.322361E-6
184	3778069277.582776	2.067843	23.500000	26.817971	-1.958700E-7	-5.773940E-11	1.488045E-10	-8.273139E-11	-8.414165E-11	-8.118129E-11	-8.255074E-11	-8.265127E-11	-8.264106E-11	-6.654183E-7	-3.325316E-6
188	3778069295.128374	2.088904	23.500000	26.858358	-1.956300E-7	-1.056517E-10	1.488125E-10	-8.202400E-11	-8.568886E-11	-8.285711E-11	-8.254818E-11	-8.327954E-11	-8.270265E-11	-6.615351E-7	-3.306363E-6
192	3778069312.299870	2.115141	23.500000	26.848055	-1.960100E-7	-9.083245E-11	1.487560E-10	-8.869864E-11	-8.997684E-11	-8.978122E-11	-8.959394E-11	-8.951266E-11	-8.968758E-11	-6.615984E-7	-3.306527E-6
196	3778069329.433073	2.117263	23.500000	26.865096	-1.958000E-7	-1.058521E-10	1.488062E-10	-8.332121E-11	-8.117965E-11	-8.051745E-11	-8.142233E-11	-8.161016E-11	-8.130099E-11	-6.641446E-7	-3.319839E-6
200	3778069346.732339	2.077152	23.500000	26.861688	-1.958300E-7	-5.974198E-11	1.488283E-10	-8.014699E-11	-8.130557E-11	-8.177049E-11	-8.103655E-11	-8.106490E-11	-8.117106E-11	-6.661079E-7	-3.328878E-6
204	3778069364.000310	2.062293	23.500000	26.870486	-1.958100E-7	-7.090650E-11	1.487937E-10	-7.850635E-11	-7.911009E-11	-8.044838E-11	-7.928388E-11	-7.933717E-11	-7.919699E-11	-6.658227E-7	-3.328300E-6
208	3778069381.104653	2.032223	23.500000	26.880751	-1.958500E-7	-1.538423E-11	1.487923E-10	-8.403780E-11	-8.277636E-11	-8.441278E-11	-8.226220E-11	-8.337228E-11	-8.340708E-11	-6.673428E-7	-3.335638E-6
212	3778069398.502102	2.107857	23.500000	26.852434	-1.956000E-7	-2.599804E-11	1.487250E-10	-8.174803E-11	-8.274634E-11	-7.998840E-11	-8.112181E-11	-8.140115E-11	-8.143492E-11	-6.673037E-7	-3.334956E-6
216	3778069415.843469	2.074669	23.500000	26.881345	-1.958400E-7	-1.047506E-10	1.487632E-10	-8.601332E-11	-8.493264E-11	-8.529267E-11	-8.497129E-11	-8.530248E-11	-8.513198E-11	-6.656348E-7	-3.327128E-6
220	3778069433.092359	2.022211	23.500000	26.899042	-1.956700E-7	-9.779154E-11	1.487820E-10	-8.545215E-11	-8.585549E-11	-8.560202E-11	-8.420484E-11	-8.527862E-11	-8.552709E-11	-6.631169E-7	-3.314080E-6
224	3778069450.516559	1.972461	23.500000	26.898545	-1.957600E-7	-9.924329E-11	1.487335E-10	-8.340914E-11	-8.281644E-11	-8.270544E-11	-8.386094E-11	-8.319799E-11	-8.311279E-11	-6.632303E-7	-3.314735E-6
228	3778069467.826357	1.869329	23.500000	26.843535	-1.957100E-7	-4.637457E-11	1.487345E-10	-8.357964E-11	-8.692496E-11	-8.504530E-11	-8.383313E-11	-8.484576E-11	-8.443921E-11	-6.663788E-7	-3.330607E-6
232	3778069485.294640	1.872732	23.500000	26.823442	-1.955600E-7	-8.417374E-11	1.486718E-10	-9.060289E-11	-8.911331E-11	-8.866211E-11	-9.151345E-11	-8.997294E-11	-8.985810E-11	-6.676645E-7	-3.336764E-6
236	3778069502.469988	1.887341	23.500000	26.810184	-1.959100E-7	-5.438497E-11	1.487092E-10	-8.325192E-11	-8.279824E-11	-8.419544E-11	-8.202788E-11	-8.306837E-11	-8.302508E-11	-6.680555E-7	-3.339226E-6
240	3778069519.906208	1.888002	23.500000	26.858457	-1.956300E-7	-1.021972E-10	1.487345E-10	-7.981458E-11	-7.926322E-11	-7.864313E-11	-7.915585E-11	-7.921919E-11	-7.920954E-11	-6.697832E-7	-3.347545E-6
244	3778069537.145429	1.864767	23.500000	26.845517	-1.958700E-7	-3.820408E-12	1.486775E-10	-8.012209E-11	-8.194019E-11	-8.398524E-11	-8.242985E-11	-8.211934E-11	-8.218502E-11	-6.701986E-7	-3.349488E-6
248	3778069554.381285	1.900126	23.500000	26.872091	-1.959400E-7	-1.051010E-10	1.486722E-10	-8.255475E-11	-8.238917E-11	-8.429294E-11	-8.487337E-11	-8.352756E-11	-8.342384E-11	-6.669512E-7	-3.333479E-6
252	3778069571.535186	1.858550	23.500000	26.919294	-1.958000E-7	-7.185768E-11	1.486023E-10	-8.085586E-11	-7.899401E-11	-8.213671E-11	-8.198255E-11	-8.099228E-11	-8.141920E-11	-6.651948E-7	-3.324971E-6
256	3778069588.920455	1.854748	23.500000	26.840483	-1.957400E-7	-9.333567E-11	1.486487E-10	-7.649955E-11	-7.422101E-11	-7.327322E-11	-7.663958E-11	-7.515834E-11	-7.536028E-11	-6.661031E-7	-3.329303E-6
260	3778069606.105218	1.763608	23.500000	26.806696	-1.957800E-7	-3.546035E-11	1.486695E-10	-8.554923E-11	-8.667228E-11	-8.536445E-11	-8.534317E-11	-8.573228E-11	-8.545684E-11	-6.665413E-7	-3.331552E-6
264	3778069623.392200	1.843580	23.500000	26.854257	-1.957500E-7	-2.509688E-11	1.486252E-10	-8.451781E-11	-8.346595E-11	-8.362071E-11	-8.238585E-11	-8.349758E-11	-8.354333E-11	-6.673807E-7	-3.335247E-6
268	3778069640.707819	1.836846	23.500000	26.868127	-1.958100E-7	-2.919311E-12	1.486370E-10	-8.382171E-11	-8.302233E-11	-8.323271E-11	-8.220045E-11	-8.306930E-11	-8.312752E-11	-6.674362E-7	-3.335961E-6
